CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	0	5	0.00	5
2	0	17	0.00	17
3	0	9	0.00	9
4	1	12	7.69	13
5	0	6	0.00	6
6	0	13	0.00	13
7	0	15	0.00	15
8	0	14	0.00	14
9	0	13	0.00	13
10	2	9	18.18	11
11	2	27	6.90	29
12	1	29	3.33	30
13	2	78	2.50	80
14	4	33	10.81	37
15	4	100	3.85	104
16	2	257	0.77	259
17	18	1039	1.70	1057
18	2	125	1.57	127
19	21	392	5.08	413
20	10	2350	0.42	2360
21	7	1269	0.55	1276
22	22	924	2.33	946
23	10	1201	0.83	1211
24	6	448	1.32	454
25	13	1134	1.13	1147
26	6	328	1.80	334
27	14	1168	1.18	1182
28	9	335	2.62	344
29	18	607	2.88	625
30	6	491	1.21	497
31	14	886	1.56	900
32	9	841	1.06	850
33	10	233	4.12	243
34	25	1474	1.67	1499
35	3	141	2.08	144
36	17	1380	1.22	1397
37	4	319	1.24	323
38	15	593	2.47	608
39	6	139	4.14	145
40	13	277	4.48	290
41	40	1681	2.32	1721
42	2	497	0.40	499
43	44	1595	2.68	1639
44	5	1042	0.48	1047
45	1	18	5.26	19
46	1	118	0.84	119
47	1	33	2.94	34
48	5	129	3.73	134
49	2	81	2.41	83
50	8	629	1.26	637
51	0	39	0.00	39
52	3	140	2.10	143
53	23	562	3.93	585
54	1	515	0.19	516
55	5	442	1.12	447
56	56	3429	1.61	3485
57	13	770	1.66	783
58	0	37	0.00	37
59	3	144	2.04	147
60	8	718	1.10	726
61	1	61	1.61	62
62	3	429	0.69	432
63	5	221	2.21	226
64	25	738	3.28	763
65	6	1069	0.56	1075
66	17	567	2.91	584
67	0	246	0.00	246
68	2	1090	0.18	1092
69	18	656	2.67	674
70	14	950	1.45	964
71	73	2240	3.16	2313
72	1	99	1.00	100
73	2	186	1.06	188
74	12	1014	1.17	1026
75	82	2212	3.57	2294
76	0	105	0.00	105
77	22	980	2.20	1002
78	11	1665	0.66	1676
79	2	270	0.74	272
80	14	1593	0.87	1607
81	5	262	1.87	267
82	2	222	0.89	224
83	2	520	0.38	522
84	5	1252	0.40	1257
85	18	93	16.22	111
86	15	285	5.00	300
87	7	75	8.54	82
88	96	1459	6.17	1555
89	1	56	1.75	57
90	9	602	1.47	611
91	69	1403	4.69	1472
92	1	86	1.15	87
93	1	263	0.38	264
94	4	189	2.07	193
95	2	330	0.60	332
96	2	78	2.50	80
97	5	175	2.78	180
98	7	209	3.24	216
99	25	592	4.05	617
100	7	253	2.69	260
101	22	549	3.85	571
102	37	1759	2.06	1796
103	61	1383	4.22	1444
104	11	467	2.30	478
105	0	22	0.00	22
106	0	22	0.00	22
107	3	119	2.46	122
108	1	192	0.52	193
109	5	482	1.03	487
110	4	459	0.86	463
111	13	503	2.52	516
112	6	399	1.48	405
113	6	312	1.89	318
114	62	2247	2.69	2309
115	4	203	1.93	207
116	0	61	0.00	61
117	4	189	2.07	193
118	6	584	1.02	590
119	10	318	3.05	328
120	6	91	6.19	97
121	5	201	2.43	206
122	6	80	6.98	86
123	10	280	3.45	290
124	4	254	1.55	258
125	62	988	5.90	1050
126	25	1290	1.90	1315
127	2	57	3.39	59
128	1	76	1.30	77
129	1	31	3.12	32
130	0	52	0.00	52
131	33	548	5.68	581
132	0	21	0.00	21
133	0	20	0.00	20
134	6	53	10.17	59
135	16	200	7.41	216
136	24	512	4.48	536
137	80	1304	5.78	1384
138	8	318	2.45	326
139	12	370	3.14	382
140	81	1212	6.26	1293
141	2	169	1.17	171
142	7	278	2.46	285
143	2	114	1.72	116
144	3	1269	0.24	1272
145	1	67	1.47	68
146	5	329	1.50	334
147	2	134	1.47	136
148	4	1436	0.28	1440
149	9	366	2.40	375
150	11	1788	0.61	1799
151	14	367	3.67	381
152	21	747	2.73	768
153	79	2905	2.65	2984
154	7	272	2.51	279
155	18	954	1.85	972
156	13	598	2.13	611
157	83	2678	3.01	2761
158	2	83	2.35	85
159	21	718	2.84	739
160	5	1416	0.35	1421
161	2	109	1.80	111
162	3	180	1.64	183
163	7	1476	0.47	1483
164	0	40	0.00	40
165	0	45	0.00	45
166	4	156	2.50	160
167	4	300	1.32	304
168	11	422	2.54	433
169	15	710	2.07	725
170	7	218	3.11	225
171	9	455	1.94	464
172	40	2346	1.68	2386
173	9	623	1.42	632
174	1	26	3.70	27
175	0	55	0.00	55
176	4	197	1.99	201
177	3	407	0.73	410
178	1	115	0.86	116
179	1	150	0.66	151
180	0	21	0.00	21
181	0	67	0.00	67
182	2	116	1.69	118
183	2	262	0.76	264
184	6	1484	0.40	1490
185	25	1068	2.29	1093
186	4	235	1.67	239
187	25	991	2.46	1016
188	7	38	15.56	45
189	0	40	0.00	40
190	1	77	1.28	78
191	2	166	1.19	168
192	16	152	9.52	168
193	22	235	8.56	257
194	4	93	4.12	97
195	3	52	5.45	55
196	3	151	1.95	154
197	2	153	1.29	155
198	2	71	2.74	73
199	12	140	7.89	152
200	20	267	6.97	287
201	32	1270	2.46	1302
202	2	135	1.46	137
203	28	1410	1.95	1438
204	11	170	6.08	181
205	43	1444	2.89	1487
206	4	152	2.56	156
207	2	396	0.50	398
208	12	2945	0.41	2957
209	2	296	0.67	298
210	0	170	0.00	170
211	7	530	1.30	537
212	1	34	2.86	35
213	0	14	0.00	14
214	1	7	12.50	8
215	0	1	0.00	1
216	0	0		0
217	0	1	0.00	1
218	0	0		0
219	0	4	0.00	4
220	0	8	0.00	8
221	0	1	0.00	1
222	0	1	0.00	1
223	0	2	0.00	2
224	1	5	16.67	6
225	0	3	0.00	3
226	0	3	0.00	3
227	0	0		0
228	0	2	0.00	2
229	0	0		0

