rn	trim_cut_S84_R1_bismark_bt2_pe.bismark.cov.gz	trim_cut_S92_R1_bismark_bt2_pe.bismark.cov.gz
cg01940273_100_100	1109	928
cg01940273_102_102	1109	928
cg01940273_104_104	1109	928
cg01940273_106_106	1109	928
cg01940273_107_107	1109	928
cg01940273_109_109	1	
cg01940273_110_110	1109	926
cg01940273_111_111	1108	928
cg01940273_113_113	1109	928
cg01940273_115_115	1	
cg01940273_116_116	804	703
cg01940273_118_118	1107	928
cg01940273_119_119	1109	928
cg01940273_122_122	1109	927
cg01940273_123_123	1109	927
cg01940273_124_124	1109	928
cg01940273_125_125	1107	927
cg01940273_126_126	1109	928
cg01940273_128_128	1107	927
cg01940273_129_129	1109	928
cg01940273_130_130	1109	927
cg01940273_131_131	1109	928
cg01940273_133_133	1109	926
cg01940273_136_136	1	
cg01940273_137_137	1	
cg01940273_138_138	1108	928
cg01940273_139_139	1107	926
cg01940273_142_142	1	
cg01940273_143_143	1	
cg01940273_144_144	1109	926
cg01940273_147_147	1	
cg01940273_148_148	1	
cg01940273_150_150	1109	926
cg01940273_152_152	1	
cg01940273_153_153	1	
cg01940273_155_155	1109	927
cg01940273_156_156	1	
cg01940273_158_158	1	
cg01940273_159_159	1	
cg01940273_161_161	1107	927
cg01940273_164_164	1	
cg01940273_168_168	1	
cg01940273_169_169	1	
cg01940273_17_17	1104	925
cg01940273_170_170	1101	925
cg01940273_171_171	1	
cg01940273_174_174	1	
cg01940273_175_175	1	
cg01940273_176_176	1	
cg01940273_179_179	1	
cg01940273_181_181	1	
cg01940273_183_183	1	
cg01940273_186_186	1	
cg01940273_187_187	943	763
cg01940273_22_22	1	
cg01940273_23_23	1106	925
cg01940273_24_24	1105	926
cg01940273_25_25	1	
cg01940273_30_30	1	
cg01940273_31_31	1092	922
cg01940273_32_32	1	
cg01940273_35_35	1	
cg01940273_36_36	1086	921
cg01940273_37_37	1	
cg01940273_39_39	1105	928
cg01940273_41_41	1	
cg01940273_43_43	1107	926
cg01940273_45_45	1	
cg01940273_47_47	1	
