rn	trim_cut_S84_R1_bismark_bt2_pe.bismark.cov.gz	trim_cut_S92_R1_bismark_bt2_pe.bismark.cov.gz
cg01940273_100_100	1.53291253381425	0
cg01940273_102_102	1.8034265103697	0
cg01940273_104_104	1.62308385933273	0.107758620689655
cg01940273_106_106	1.44274120829576	0.107758620689655
cg01940273_107_107	1.53291253381425	0.323275862068966
cg01940273_109_109	100	
cg01940273_110_110	1.8034265103697	0.215982721382289
cg01940273_111_111	1.62454873646209	0.21551724137931
cg01940273_113_113	1.53291253381425	0.21551724137931
cg01940273_115_115	100	
cg01940273_116_116	2.61194029850746	0.142247510668563
cg01940273_118_118	1.9873532068654	0.21551724137931
cg01940273_119_119	1.98376916140667	0.107758620689655
cg01940273_122_122	1.53291253381425	0.107874865156419
cg01940273_123_123	1.8034265103697	0.539374325782093
cg01940273_124_124	1.98376916140667	0
cg01940273_125_125	1.6260162601626	0
cg01940273_126_126	1.71325518485122	0.323275862068966
cg01940273_128_128	1.6260162601626	0.107874865156419
cg01940273_129_129	2.07394048692516	0.107758620689655
cg01940273_130_130	1.98376916140667	0
cg01940273_131_131	2.07394048692516	0.323275862068966
cg01940273_133_133	2.61496844003607	0.215982721382289
cg01940273_136_136	100	
cg01940273_137_137	100	
cg01940273_138_138	1.62454873646209	0
cg01940273_139_139	2.1680216802168	0.323974082073434
cg01940273_142_142	100	
cg01940273_143_143	100	
cg01940273_144_144	2.16411181244364	0.431965442764579
cg01940273_147_147	100	
cg01940273_148_148	100	
cg01940273_150_150	2.25428313796213	0.215982721382289
cg01940273_152_152	100	
cg01940273_153_153	100	
cg01940273_155_155	2.52479711451758	95.5771305285868
cg01940273_156_156	100	
cg01940273_158_158	100	
cg01940273_159_159	0	
cg01940273_161_161	2.4390243902439	0.323624595469256
cg01940273_164_164	100	
cg01940273_168_168	100	
cg01940273_169_169	100	
cg01940273_17_17	0.0905797101449275	0.108108108108108
cg01940273_170_170	1.54405086285195	95.6756756756757
cg01940273_171_171	100	
cg01940273_174_174	100	
cg01940273_175_175	100	
cg01940273_176_176	100	
cg01940273_179_179	100	
cg01940273_181_181	100	
cg01940273_183_183	100	
cg01940273_186_186	100	
cg01940273_187_187	0	0
cg01940273_22_22	100	
